p1name,p1pos,p1type,p1team,p1teamname,p1icetime,p2name,p2pos,p2type,p2team,p2teamname,p2icetime,time
Ondrej Palat,Left Wing,Forward,14,Tampa Bay Lightning,1169,Yanni Gourde,Center,Forward,14,Tampa Bay Lightning,1053,141
Sebastian Aho,Center,Forward,12,Carolina Hurricanes,1509,Martin Necas,Center,Forward,12,Carolina Hurricanes,987,141
Brandon Sutter,Center,Forward,23,Vancouver Canucks,665,Josh Leivo,Left Wing,Forward,20,Calgary Flames,580,141
Ryan Strome,Center,Forward,3,New York Rangers,1462,Brendan Lemieux,Left Wing,Forward,3,New York Rangers,838,141
David Kampf,Center,Forward,16,Chicago Blackhawks,972,Alex DeBrincat,Left Wing,Forward,16,Chicago Blackhawks,1296,142
Artturi Lehkonen,Left Wing,Forward,8,Montréal Canadiens,1113,Jesperi Kotkaniemi,Center,Forward,8,Montréal Canadiens,468,142
John Carlson,Defenseman,Defenseman,15,Washington Capitals,1928,Brenden Dillon,Defenseman,Defenseman,15,Washington Capitals,1350,142
David Perron,Left Wing,Forward,19,St. Louis Blues,1475,Robert Thomas,Center,Forward,19,St. Louis Blues,978,142
Vladimir Tarasenko,Right Wing,Forward,19,St. Louis Blues,213,Jaden Schwartz,Left Wing,Forward,19,St. Louis Blues,1342,142
Bobby Ryan,Right Wing,Forward,17,Detroit Red Wings,325,Brady Tkachuk,Left Wing,Forward,9,Ottawa Senators,1566,142
Claude Giroux,Center,Forward,4,Philadelphia Flyers,1389,Morgan Frost,Center,Forward,4,Philadelphia Flyers,299,143
Boone Jenner,Center,Forward,29,Columbus Blue Jackets,1360,Sonny Milano,Left Wing,Forward,24,Anaheim Ducks,782,143
James Neal,Left Wing,Forward,22,Edmonton Oilers,934,Zack Kassian,Right Wing,Forward,22,Edmonton Oilers,933,143
Ryan Lindgren,Defenseman,Defenseman,3,New York Rangers,1014,Brendan Smith,Defenseman,Defenseman,3,New York Rangers,714,143
Joakim Nygard,Left Wing,Forward,22,Edmonton Oilers,399,Alex Chiasson,Right Wing,Forward,22,Edmonton Oilers,907,143
John Moore,Defenseman,Defenseman,6,Boston Bruins,397,Matt Grzelcyk,Defenseman,Defenseman,6,Boston Bruins,1300,143
Damon Severson,Defenseman,Defenseman,1,New Jersey Devils,1678,Will Butcher,Defenseman,Defenseman,1,New Jersey Devils,1070,143
Matt Nieto,Left Wing,Forward,28,San Jose Sharks,1006,Valeri Nichushkin,Right Wing,Forward,21,Colorado Avalanche,948,143
Evgeni Malkin,Center,Forward,5,Pittsburgh Penguins,1193,Alex Galchenyuk,Left Wing,Forward,9,Ottawa Senators,786,143
Valeri Nichushkin,Right Wing,Forward,21,Colorado Avalanche,948,Tyson Jost,Center,Forward,21,Colorado Avalanche,870,143
Adam Larsson,Defenseman,Defenseman,22,Edmonton Oilers,1008,Kris Russell,Defenseman,Defenseman,22,Edmonton Oilers,940,143
Alexander Radulov,Right Wing,Forward,25,Dallas Stars,1113,Roope Hintz,Left Wing,Forward,25,Dallas Stars,953,144
Boone Jenner,Center,Forward,29,Columbus Blue Jackets,1360,Nathan Gerbe,Center,Forward,29,Columbus Blue Jackets,430,144
Jeff Carter,Center,Forward,26,Los Angeles Kings,1091,Anze Kopitar,Center,Forward,26,Los Angeles Kings,1622,144
Jason Dickinson,Center,Forward,25,Dallas Stars,992,Jamie Benn,Left Wing,Forward,25,Dallas Stars,1219,144
